id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
69246876,622.45,10.0,62400.0,20.65,0,0,0,0,1.0,0.0,55.6125,0,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
61862671,722.76,10.0,137000.0,28.59,0,0,0,0,1.0,1.0,8.414000000000003,23,697.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
38361691,299.14,10.0,90000.0,33.78,1,0,2,1,1.0,1.0,49.56999999999998,25,682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
46735053,754.07,0.0,195000.0,10.62,0,0,3,2,1.0,1.0,13.110500000000002,39,672.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
50033174,279.16,10.0,35000.0,23.32,0,0,0,0,1.0,1.0,39.58000000000002,0,672.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
45222241,659.97,10.0,75000.0,14.69,0,0,0,0,1.0,1.0,25.87507284768213,0,692.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
38649173,172.84,6.0,45000.0,4.56,0,0,0,0,0.0,1.0,13.131636363636359,0,662.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
46356123,322.94,2.0,25000.0,24.58,0,0,0,0,1.0,0.0,29.897653631284918,19,702.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0
44836458,253.18,10.0,64000.0,27.76,0,0,0,0,0.0,1.0,51.90800000000001,26,672.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0
56001167,500.3,4.0,49000.0,17.12,0,0,0,0,1.0,0.0,20.071999999999996,0,712.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
74132235,651.72,7.0,78740.0,24.92,1,61,1,1,0.0,1.0,62.93000000000002,0,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65067261,307.86,8.0,80000.0,22.23,0,0,3,0,0.0,0.0,22.46364640883979,30,677.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
62377308,535.51,0.0,49000.0,22.51,0,0,0,0,1.0,1.0,31.145306122448982,0,672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
43699126,1145.69,3.0,120000.0,29.19,0,0,1,1,0.0,1.0,17.84240000000001,20,697.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43420044,472.14,10.0,80000.0,15.8,0,0,0,1,1.0,1.0,41.64199999999999,25,702.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48816193,786.83,8.0,130000.0,27.33,0,0,0,2,1.0,0.0,57.36600000000001,28,707.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0
